Time_Step,Original_Tank1_Reading,KalmanFilter_Tank1_Estimate,ParticleFilter_Tank1_Estimate,Original_Tank2_Reading,KalmanFilter_Tank2_Estimate,ParticleFilter_Tank2_Estimate,Original_Tank3_Reading,KalmanFilter_Tank3_Estimate,ParticleFilter_Tank3_Estimate,Original_Tank4_Reading,KalmanFilter_Tank4_Estimate,ParticleFilter_Tank4_Estimate
0,12.4,11.366666666666667,1.0028868242661533,12.7,11.641666666666666,1.087516804307611,1.8,1.65,0.7029873950154437,1.4,1.2833333333333332,0.6954699714568617
1,12.4049276607877,12.048952462803346,1.155929913533743,12.7006179755586,12.33754895536708,1.3180602553403933,1.79288086002456,1.743893136587568,0.8814295373540494,1.40030107514678,1.3601978493821696,0.8488838461515865
2,12.4094784508565,12.273796627395637,1.3100065568945256,12.7012391479384,12.564366494820161,1.5297188816533478,1.78606001174149,1.7701907576513043,0.8900971932242289,1.40059211264642,1.3853899705577237,0.8710859004492731
3,12.4136703362217,12.360357816054389,1.442282960715403,12.7018631462449,12.649456635660881,1.7225480108420563,1.77952551277183,1.7759675938119575,0.8828503912408459,1.40087344817312,1.394971958754137,0.8797504111943977
4,12.4175205589335,12.39569315789672,1.6390000752679663,12.7024896149848,12.682239150266433,1.889979564408494,1.77326585502254,1.7742975048889216,0.9082857806335454,1.40114540610822,1.3987880960074435,0.8813013455606113
5,12.4210456614665,12.411362308339728,1.7633517560634246,12.70311821351,12.695143484632153,2.132701991682224,1.76726995228803,1.7699541161326025,0.869465818046352,1.40140829992449,1.4004075167188756,0.8990335262802596
6,12.4242615105808,12.419334486528445,1.9937631620895822,12.7037486154828,12.700461769840532,2.308544575879218,1.76152712794201,1.7647459295956311,0.9129403259453824,1.40166243255719,1.4011831005486284,0.9523206095605109
7,12.4271833206459,12.424185335694784,2.246696448292477,12.7043805083587,12.702883684890523,2.488264073065524,1.75602710274206,1.7593573950258867,0.9832868870816284,1.4019080967621,1.4016311731190367,1.0666980783051383
8,12.4298256764185,12.427671258275238,2.4634124436185174,12.7050135928873,12.704200040540641,2.7480540516065766,1.75075998276746,1.7540439015698777,0.868321380625727,1.40214557546122,1.4019490912782209,0.9990267488882468
9,12.4322025552702,12.430471753867002,2.6239760024377463,12.705647582632,12.70509467076467,2.962535487903686,1.74571624750875,1.748897128247835,0.9200368309963608,1.40237514207649,1.4022124051558473,1.000510736042624
10,12.4343273488581,12.432854642622793,2.7865139315108,12.7062822035049,12.705828606362253,3.12540477241671,1.7408867381257,1.7439464348799867,0.9317897372595397,1.40259706085189,1.4024501354504109,1.034451576120877
11,12.4362128842387,12.434930150084421,2.9635192905009577,12.7069171933192,12.706501390101538,3.2582238570842863,1.73626264588845,1.7391975921195442,0.913312544815942,1.40281158716449,1.4026735248950644,0.9892040784855375
12,12.4378714444216,12.436747969955787,3.0987578351159355,12.7075523013568,12.707150888976475,3.5237400652815514,1.73183550081497,1.7346475694648569,0.9921170235313812,1.40301896782473,1.4028870203667796,1.036301160106215
13,12.4393147883638,12.438334350974898,3.2936268989253703,12.7081872879512,12.707791418768764,3.660691108013809,1.72759716051638,1.7302901771000865,1.0614151026040193,1.40321944136636,1.4030924678430956,1.0378171330220225
14,12.4405541704063,12.439706274832393,3.546665221882699,12.7088219240851,12.708428306079847,3.834078383620162,1.72353979925996,1.7261182141579807,1.10396224638767,1.40341323832638,1.4032907149043532,1.0841765138254467
15,12.4416003591551,12.440876883321383,3.7324530195072834,12.7094559910016,12.709063450291216,3.925235921481748,1.71965589725844,1.7221242826679912,1.1502160843309266,1.40360058151538,1.4034822230019466,1.0904355598966353
16,12.4424636558113,12.441857562652565,3.8376033683301727,12.7100892798295,12.70969744781254,4.052369542241203,1.71593823019271,1.718301091982077,1.129274060612014,1.40378168627857,1.4036673014852823,1.1213457407355056
17,12.4431539119536,12.442658750581897,3.9390110639082137,12.7107215912221,12.710330403249001,4.229340562785501,1.71237985897376,1.7146415687276293,1.1629275419238174,1.40395676074787,1.40384619714792,1.1165916600058217
