Time_Step,Original_Tank1_Reading,ParticleFilter_Tank1_Estimate,Original_Tank2_Reading,ParticleFilter_Tank2_Estimate,Original_Tank3_Reading,ParticleFilter_Tank3_Estimate,Original_Tank4_Reading,ParticleFilter_Tank4_Estimate
0,12.4,12.40073918725495,12.7,12.700153834762599,1.8,1.7993606490243683,1.4,1.4004222868819918
1,12.4049276607877,12.401156637476287,12.7006179755586,12.700146706138778,1.79288086002456,1.798616702639599,1.40030107514678,1.4004995029344895
2,12.4094784508565,12.401671460997601,12.7012391479384,12.70009496922455,1.78606001174149,1.7979049482359208,1.40059211264642,1.4004754795115728
3,12.4136703362217,12.402127152894659,12.7018631462449,12.70001787836221,1.77952551277183,1.7971522248493,1.40087344817312,1.4005027717984477
4,12.4175205589335,12.402622083986085,12.7024896149848,12.69996316447622,1.77326585502254,1.7964223252235074,1.40114540610822,1.400549535427721
5,12.4210456614665,12.403090142031527,12.70311821351,12.700005538254853,1.76726995228803,1.7957057459469334,1.40140829992449,1.400693201865732
6,12.4242615105808,12.403604812214198,12.7037486154828,12.699929612713559,1.76152712794201,1.7950969618424732,1.40166243255719,1.4006827504749209
7,12.4271833206459,12.404080022515993,12.7043805083587,12.69996726393911,1.75602710274206,1.794416852077154,1.4019080967621,1.4006866446786752
8,12.4298256764185,12.404619718596624,12.7050135928873,12.69983618753859,1.75075998276746,1.7936495111155253,1.40214557546122,1.4007497189787745
9,12.4322025552702,12.405083348089732,12.705647582632,12.69969300911843,1.74571624750875,1.793024299764812,1.40237514207649,1.4007370930692875
10,12.4343273488581,12.405469733233417,12.7062822035049,12.69963248301368,1.7408867381257,1.792368800865931,1.40259706085189,1.4007818180717628
11,12.4362128842387,12.405967253495067,12.7069171933192,12.699607213052026,1.73626264588845,1.79169227546367,1.40281158716449,1.4008624222271036
12,12.4378714444216,12.406461145146707,12.7075523013568,12.699547661473556,1.73183550081497,1.7910189999135682,1.40301896782473,1.4007789181560042
13,12.4393147883638,12.406891584523986,12.7081872879512,12.699415128471236,1.72759716051638,1.7903604648989284,1.40321944136636,1.4007786275054164
14,12.4405541704063,12.407318335248297,12.7088219240851,12.699370566668978,1.72353979925996,1.789643446605577,1.40341323832638,1.400768873511438
15,12.4416003591551,12.407794199167489,12.7094559910016,12.699340036362566,1.71965589725844,1.7888975133053688,1.40360058151538,1.4007264876016272
16,12.4424636558113,12.40823105838328,12.7100892798295,12.699352413235204,1.71593823019271,1.7882255613879319,1.40378168627857,1.4007556027910524
17,12.4431539119536,12.408672572636979,12.7107215912221,12.69929700107718,1.71237985897376,1.7875179354663893,1.40395676074787,1.4007872987926493
18,12.4436805467803,12.409065954324273,12.7113527350072,12.699211406782647,1.7089741197486,1.7868556153265862,1.40412600608537,1.4007774770406185
19,12.4440525638166,12.409455695499835,12.711982529851,12.699147299618108,1.7057146141537,1.7861410311662242,1.40428961671842,1.4007408274770876
20,12.4442785670945,12.409927428544385,12.7126108029329,12.699085847417724,1.70259519981852,1.785486566649489,1.40444778056667,1.400706280109634
21,12.4443667768135,12.410375050306728,12.7132373896315,12.69899178357463,1.69960998112078,1.7848472415371424,1.40460067926143,1.4007135490854756
22,12.4443250444912,12.410807588144106,12.713862133222,12.698937928293306,1.69675330019426,1.7841548090250117,1.40474848835746,1.4007357843512918
23,12.444160867612,12.411244452645498,12.7144848845845,12.698908999397744,1.69401972818907,1.783463964673225,1.40489137753756,1.400752231348617
24,12.4438814037838,12.411636008565925,12.7151055019214,12.698929684118635,1.69140405678369,1.7829108961491746,1.40502951081018,1.4007938840359895
25,12.4434934844137,12.412008046379876,12.7157238504858,12.69892749834004,1.68890128994741,1.7822828022562187,1.40516304670033,1.4008079743754926
26,12.4430036279114,12.412350321391438,12.7163398023188,12.698836365012081,1.6865066359512,1.7816731015704377,1.40529213843394,1.4008615968632763
27,12.4424180524323,12.412724119931763,12.7169532359962,12.69881525145409,1.68421549962459,1.7810283543004741,1.40541693411602,1.4009870281525485
28,12.4417426881707,12.413093397061523,12.7175640363839,12.698721447526122,1.68202347485545,1.7804026775697537,1.40553757690271,1.4010261660281458
29,12.440983189214,12.413459545676528,12.7181720944022,12.69865076960987,1.67992633732957,1.7797931026277123,1.40565420516748,1.4010759784819844
30,12.4401449449694,12.413868864042591,12.7187773067978,12.698591597328292,1.67792003750606,1.7791549486132898,1.40576695266177,1.401019838955735
31,12.4392330911741,12.414280825646369,12.7193795759245,12.698541164432037,1.67600069382473,1.7785888795841904,1.40587594867011,1.401031613787147
32,12.4382525205004,12.4146683658679,12.7199788095308,12.698503099377078,1.67416458614103,1.7779783365461332,1.40598131815997,1.401056471225334
33,12.4372078927672,12.415037591290972,12.7205749205556,12.69849196354923,1.67240814938402,1.7773413020372861,1.40608318192663,1.401056655657881
34,12.4361036447688,12.415413275211199,12.7211678269306,12.698423614549796,1.6707279674327,1.7767857123699802,1.40618165673305,1.4011377651699433
35,12.4349439997328,12.415800684528142,12.7217574513901,12.698391199540268,1.66912076720572,1.7761593292735847,1.40627685544506,1.4011894473248203
36,12.4337329764179,12.416171238240128,12.7223437212868,12.698334322697729,1.6675834129595,1.7755564929220446,1.40636888716198,1.4012209469401897
37,12.4324743978627,12.416591138286158,12.7229265684149,12.698264801444044,1.66611290078954,1.774970805187859,1.40645785734277,1.4012988504793205
38,12.4311718997962,12.416968301344607,12.7235059288386,12.698222128972022,1.66470635332988,1.774378364778537,1.40654386792804,1.4013051954046856
39,12.4298289387218,12.417315134099642,12.7240817427272,12.698152466854557,1.66336101464528,1.7737522426235723,1.40662701745779,1.4013137919558307
40,12.428448799684,12.417693951000292,12.7246539541958,12.69811400452876,1.66207424531088,1.7731602045810786,1.40670740118531,1.4013034443822978
41,12.4270346037295,12.418126422447266,12.7252225111517,12.698177540491068,1.66084351767417,1.7725747011622928,1.40678511118719,1.4013059258284386
42,12.4255893150721,12.418507967687392,12.7257873651458,12.69818947144636,1.65966641129376,1.7719227178411638,1.40686023646957,1.401303563873169
43,12.4241157479719,12.418876936419007,12.7263484712299,12.698189103436151,1.65854060854987,1.7713336954705166,1.40693286307091,1.4013584253859497
44,12.4226165733384,12.41914570119878,12.7269057878185,12.698186840804842,1.65746389042125,1.7707035044985413,1.40700307416123,1.4013721269103177
45,12.4210943250681,12.419478167314757,12.7274592765557,12.698139756094438,1.65643413242328,1.7700849872066537,1.40707095013806,1.401406551570523
46,12.4195514061239,12.419798545852155,12.7280089021868,12.698099846092223,1.65544930070227,1.769490038908149,1.40713656871907,1.4014450706255939
47,12.4179900943679,12.420100611997814,12.7285546324345,12.698127372273493,1.65450744828078,1.7689070138543328,1.40720000503171,1.4014912135516628
48,12.416412548154799,12.42043176134322,12.7290964378792,12.698037282905169,1.65360671144911,1.7683508815667142,1.40726133169978,1.4015287162588164
49,12.4148208116957,12.420803028964208,12.7296342918439,12.697974620188667,1.65274530629794,1.767802740865193,1.40732061892703,1.4014764172836
50,12.4132168201997,12.421157347810027,12.7301681702829,12.6979222872808,1.65192152538748,1.7671679777768454,1.40737793457805,1.4015198862832214
51,12.4116024048032,12.42143782656942,12.7306980516747,12.697840449232768,1.65113373454837,1.7666292642715278,1.40743334425642,1.4015763194836957
52,12.4099792972926,12.421746261696427,12.7312239169183,12.69780965982971,1.65038036980963,1.7660547357500973,1.40748691138018,1.4016245805910779
53,12.4083491346303,12.422019041521919,12.7317457492339,12.697756664367054,1.64965993444943,1.7654916085752523,1.40753869725482,1.4016729018385337
54,12.4067134632906,12.422283992602525,12.7322635340665,12.697695718627017,1.64897099616406,1.7649508630858957,1.40758876114384,1.4016855329267193
55,12.4050737434124,12.422597925758438,12.7327772589927,12.697686923202404,1.64831218435095,1.7644393173684558,1.40763716033688,1.4017111796089794
56,12.4034313527766,12.42291668854463,12.7332869136323,12.697656950026584,1.64768218750159,1.763881811494004,1.40768395021559,1.401754769505434
57,12.4017875906145,12.423245245009428,12.7337924895609,12.697603324425991,1.64707975070024,1.7632970155212104,1.40772918431736,1.401737509785403
58,12.4001436812539,12.423492202006763,12.7342939802276,12.697614911028637,1.64650367322461,1.762746419619765,1.40777291439679,1.4017629367080862
