Time_Step,Original_Tank1_Reading,KalmanFilter_Tank1_Estimate,Original_Tank2_Reading,KalmanFilter_Tank2_Estimate,Original_Tank3_Reading,KalmanFilter_Tank3_Estimate,Original_Tank4_Reading,KalmanFilter_Tank4_Estimate
0,12.4,23.894576960632758,12.7,23.954857135226028,1.8,-19.551964459778564,1.4,-19.911428211216005
1,12.4049276607877,11.988740067241213,12.7006179755586,12.357942207322598,1.79288086002456,2.485029061043074,1.40030107514678,2.3101841607022764
2,12.4094784508565,12.492546288580382,12.7012391479384,12.766436883998312,1.78606001174149,1.6166647872697673,1.40059211264642,1.5561136890415481
3,12.4136703362217,12.474422118066048,12.7018631462449,12.752186325599808,1.77952551277183,1.6551594871968753,1.40087344817312,1.5846428245933357
4,12.4175205589335,12.479222861948255,12.7024896149848,12.753367172338125,1.77326585502254,1.653556809069336,1.40114540610822,1.584054201527701
5,12.4210456614665,12.482676711365311,12.70311821351,12.753979370513836,1.76726995228803,1.6537038057584703,1.40140829992449,1.5845234088493678
6,12.4242615105808,12.485868613433075,12.7037486154828,12.75461416570256,1.76152712794201,1.6537752545582574,1.40166243255719,1.5849127638079767
7,12.4271833206459,12.488766934988563,12.7043805083587,12.755249004827666,1.75602710274206,1.6538502939239412,1.4019080967621,1.5852679590429424
8,12.4298256764185,12.491388171682342,12.7050135928873,12.755884474773195,1.75075998276746,1.6539254600872786,1.40214557546122,1.5855890557633776
9,12.4322025552702,12.493746099204202,12.705647582632,12.756520286406266,1.74571624750875,1.6540008596574645,1.40237514207649,1.585877824817933
10,12.4343273488581,12.49585400384073,12.7062822035049,12.757156196314632,1.7408867381257,1.654076447289687,1.40259706085189,1.5861358947749886
11,12.4362128842387,12.497724607905656,12.7069171933192,12.75779197038091,1.73626264588845,1.6541521859305068,1.40281158716449,1.5863648282729867
12,12.4378714444216,12.4993700942452,12.7075523013568,12.758427384824012,1.73183550081497,1.6542280398677889,1.40301896782473,1.5865661215506195
13,12.4393147883638,12.50080212589489,12.7081872879512,12.75906222576781,1.72759716051638,1.654303974967102,1.40321944136636,1.5867412070046973
14,12.4405541704063,12.50203186536758,12.7088219240851,12.759696288883093,1.72353979925996,1.65437995860193,1.40341323832638,1.5868914555537097
15,12.4416003591551,12.503069993382425,12.7094559910016,12.760329379039531,1.71965589725844,1.6544559595989716,1.40360058151538,1.5870181789388385
16,12.4424636558113,12.503926727047494,12.7100892798295,12.760961309970662,1.71593823019271,1.6545319481848175,1.40378168627857,1.587122631957588
17,12.4431539119536,12.50461183749919,12.7107215912221,12.761591903951167,1.71237985897376,1.6546078959345196,1.40395676074787,1.5872060146306568
18,12.4436805467803,12.505134667005398,12.7113527350072,12.762220991484227,1.7089741197486,1.6546837757217403,1.40412600608537,1.587269474302918
19,12.4440525638166,12.505504145538154,12.711982529851,12.762848411001608,1.7057146141537,1.654759561670824,1.40428961671842,1.5873141076792097
20,12.4442785670945,12.50572880682312,12.7126108029329,12.763474008573528,1.70259519981852,1.6548352291104045,1.40444778056667,1.5873409627958357
21,12.4443667768135,12.505816803873945,12.7132373896315,12.764097637628602,1.69960998112078,1.6549107545285948,1.40460067926143,1.587351040928772
22,12.4443250444912,12.50577592402061,12.713862133222,12.764719158684109,1.69675330019426,1.6549861155297774,1.40474848835746,1.5873452984397016
23,12.444160867612,12.505613603439834,12.7144848845845,12.765338439086065,1.69401972818907,1.65506129079293,1.40489137753756,1.5873246485608605
24,12.4438814037838,12.505336941197411,12.7151055019214,12.765955352757349,1.69140405678369,1.655136260031259,1.40502951081018,1.5872899631199255
25,12.4434934844137,12.504952712813395,12.7157238504858,12.76656977995579,1.68890128994741,1.655211003953381,1.40516304670033,1.5872420742062696
26,12.4430036279114,12.50446738335872,12.7163398023188,12.767181607040158,1.6865066359512,1.6552855042257797,1.40529213843394,1.5871817757796562
27,12.4424180524323,12.503887120095225,12.7169532359962,12.767790726244547,1.68421549962459,1.6553597434366008,1.40541693411602,1.587109825222831
28,12.4417426881707,12.503217804669367,12.7175640363839,12.76839703546048,1.68202347485545,1.6554337050606935,1.40553757690271,1.5870269448392875
29,12.440983189214,12.502465044870439,12.7181720944022,12.769000438027033,1.67992633732957,1.6555073734259242,1.40565420516748,1.5869338232975245
30,12.4401449449694,12.501634185964726,12.7187773067978,12.769600842527643,1.67792003750606,1.6555807336805988,1.40576695266177,1.5868311170232123
31,12.4392330911741,12.500730321616482,12.7193795759245,12.770198162594815,1.67600069382473,1.6556537717621291,1.40587594867011,1.5867194515405976
32,12.4382525205004,12.49975830440709,12.7199788095308,12.770792316720788,1.67416458614103,1.655726474366702,1.40598131815997,1.5865994227645437
33,12.4372078927672,12.498722755963733,12.7205749205556,12.771383228075495,1.67240814938402,1.6557988289201009,1.40608318192663,1.5864715982446074
34,12.4361036447688,12.497628076708487,12.7211678269306,12.771970824330369,1.6707279674327,1.6558708235495099,1.40618165673305,1.5863365183624796
35,12.4349439997328,12.49647845523946,12.7217574513901,12.772555037488791,1.66912076720572,1.6559424470563713,1.40627685544506,1.5861946974842316
