Time_Step,Original_Tank1_Reading,KalmanFilter_Tank1_Estimate,Original_Tank2_Reading,KalmanFilter_Tank2_Estimate,Original_Tank3_Reading,KalmanFilter_Tank3_Estimate,Original_Tank4_Reading,KalmanFilter_Tank4_Estimate
0,12.4,12.39999863477236,12.7,12.69997533361586,1.8,12.459839810592273,1.4,12.439819295330052
1,12.4049276607877,12.404933367599579,12.7006179755586,12.700622603739603,1.79288086002456,1.7642624283912256,1.40030107514678,1.3734957703569346
2,12.4094784508565,12.409480579680995,12.7012391479384,12.70124082445524,1.78606001174149,1.8021883298885757,1.40059211264642,1.4106940356818785
3,12.4136703362217,12.413672481171286,12.7018631462449,12.701864832766564,1.77952551277183,1.7954692100029008,1.40087344817312,1.4108582847798992
4,12.4175205589335,12.417522704859378,12.7024896149848,12.702491301635874,1.77326585502254,1.7892129800491745,1.40114540610822,1.411136104347801
5,12.4210456614665,12.421047808334496,12.70311821351,12.703119900323617,1.76726995228803,1.7832196757844498,1.40140829992449,1.411403968156918
6,12.4242615105808,12.42426365829833,12.7037486154828,12.703750302458987,1.76152712794201,1.7774794122319357,1.40166243255719,1.4116626157891456
7,12.4271833206459,12.427185469125284,12.7043805083587,12.70438219549753,1.75602710274206,1.771981907783719,1.4019080967621,1.4119123612762428
8,12.4298256764185,12.429827825576504,12.7050135928873,12.705015280188782,1.75075998276746,1.7667172694576159,1.40214557546122,1.4121535092542705
9,12.4322025552702,12.432204705027846,12.705647582632,12.705649270096087,1.74571624750875,1.7616759776485198,1.40237514207649,1.4123863539446184
10,12.4343273488581,12.434329499140487,12.7062822035049,12.706283891131482,1.7408867381257,1.756848874399979,1.40259706085189,1.4126111795135334
11,12.4362128842387,12.436215034974825,12.7069171933192,12.70691888110812,1.73626264588845,1.752227151845015,1.40281158716449,1.4128282604150924
12,12.4378714444216,12.437873595544195,12.7075523013568,12.707553989307844,1.73183550081497,1.7478023408434062,1.40301896782473,1.4130378617225485
13,12.4393147883638,12.439316939809169,12.7081872879512,12.708188976064104,1.72759716051638,1.7435662998269212,1.40321944136636,1.4132402394484733
14,12.4405541704063,12.440556322114157,12.7088219240851,12.708823612359557,1.72353979925996,1.7395112038623088,1.40341323832638,1.4134356408540338
15,12.4416003591551,12.441602511068432,12.7094559910016,12.709457679437255,1.71965589725844,1.7356295339406402,1.40360058151538,1.413624304747816
16,12.4424636558113,12.44246580787621,12.7100892798295,12.710090968425957,1.71593823019271,1.7319140665001347,1.40378168627857,1.413806461774484
17,12.4431539119536,12.443156064119178,12.7107215912221,12.71072327997892,1.71237985897376,1.728357863188262,1.40395676074787,1.4139823346936655
18,12.4436805467803,12.443682698998487,12.7113527350072,12.711354423923906,1.7089741197486,1.7249542608678816,1.40412600608537,1.4141521386493685
19,12.4440525638166,12.444054716042057,12.711982529851,12.711984218927077,1.7057146141537,1.7216968618709405,1.40428961671842,1.4143160814302154
20,12.4442785670945,12.444280719284492,12.7126108029329,12.7126124921678,1.70259519981852,1.7185795245022986,1.40444778056667,1.4144743637208168
21,12.4443667768135,12.444368928927773,12.7132373896315,12.713239079024639,1.69960998112078,1.7155963537953287,1.40460067926143,1.414627179344674
22,12.4443250444912,12.444327196491871,12.713862133222,12.713863822772762,1.69675330019426,1.7127416925200747,1.40474848835746,1.414774715498731
23,12.444160867612,12.44416301946345,12.7144848845845,12.714486574292241,1.69401972818907,1.710010112443903,1.40489137753756,1.4149171529799618
24,12.4438814037838,12.443883555452562,12.7151055019214,12.715107191785446,1.69140405678369,1.7073964058439448,1.40502951081018,1.4150546664042316
25,12.4434934844137,12.443495635868366,12.7157238504858,12.715725540505451,1.68890128994741,1.704895577269955,1.40516304670033,1.4151874244177223
